,Conf,MP_C,PTS_C,TRB_C,AST_C,FG%_C,3P%_C,Player Name,SOS,School,FT%_C,Pk,Tm,Yrs,DRAFT_YEAR,MP.1,PTS.1,TRB.1,AST.1,FG%,3P%,Player,FT%
0,CUSA,29.3,18.9,9.7,1.4,0.568,0.28600000000000003,Kenyon Martin,8.5,Cincinnati,0.684,1,NJN,15.0,2000,30.6,12.3,6.8,1.9,0.483,0.23399999999999999,Kenyon Martin,0.629
1,SEC,29.8,16.2,8.2,0.9,0.608,0.28,Stromile Swift,5.78,LSU,0.617,2,VAN,9.0,2000,19.8,8.4,4.6,0.5,0.473,0.07400000000000001,Stromile Swift,0.6990000000000001
2,Big 12,33.6,22.8,7.7,1.1,0.5820000000000001,0.35700000000000004,Marcus Fizer,7.14,Iowa State,0.732,4,CHI,6.0,2000,20.9,9.6,4.6,1.2,0.435,0.191,Marcus Fizer,0.691
3,SEC,28.6,14.1,6.6,2.5,0.47600000000000003,0.33799999999999997,Mike Miller,8.51,Florida,0.7290000000000001,5,ORL,17.0,2000,26.9,10.6,4.2,2.6,0.45899999999999996,0.40700000000000003,Mike Miller,0.769
4,CUSA,27.5,12.6,3.8,1.4,0.478,0.371,DerMarr Johnson,8.5,Cincinnati,0.737,6,ATL,7.0,2000,17.2,6.2,2.2,0.9,0.41100000000000003,0.336,DerMarr Johnson,0.789
5,Big 12,30.7,17.7,10.5,0.7,0.523,0.467,Chris Mihm,9.61,Texas,0.7070000000000001,7,CHI,8.0,2000,20.1,7.5,5.3,0.5,0.45899999999999996,0.231,Chris Mihm,0.7040000000000001
6,Big Ten,33.9,16.6,2.8,4.5,0.41200000000000003,0.327,Jamal Crawford,9.27,Michigan,0.784,8,CLE,19.0,2000,29.7,14.9,2.3,3.4,0.41,0.349,Jamal Crawford,0.862
7,Big Ten,30.4,14.2,8.4,2.4,0.613,,Joel Przybilla,9.62,Minnesota,0.495,9,HOU,13.0,2000,19.8,3.9,6.2,0.4,0.552,0.0,Joel Przybilla,0.557
8,Big 12,31.7,15.3,2.7,3.6,0.389,0.34700000000000003,Keyon Dooling,8.22,Missouri,0.743,10,ORL,13.0,2000,19.4,7.0,1.3,2.2,0.41600000000000004,0.349,Keyon Dooling,0.799
9,Pac-10,29.5,13.0,7.6,1.2,0.501,0.16699999999999998,Jerome Moiso,10.11,UCLA,0.613,11,BOS,5.0,2000,9.6,2.7,2.7,0.3,0.489,0.0,Jerome Moiso,0.593
10,Big East,32.4,13.6,9.3,0.6,0.602,,Etan Thomas,6.2,Syracuse,0.6779999999999999,12,DAL,9.0,2000,17.3,5.7,4.7,0.4,0.513,,Etan Thomas,0.603
11,WAC,36.1,24.8,4.7,3.5,0.447,0.331,Courtney Alexander,3.58,Fresno State,0.7809999999999999,13,ORL,3.0,2000,21.7,9.0,2.2,1.2,0.42200000000000004,0.33899999999999997,Courtney Alexander,0.813
12,Big Ten,31.5,12.1,1.8,6.9,0.42100000000000004,0.376,Mateen Cleaves,9.91,Michigan State,0.7559999999999999,14,DET,6.0,2000,11.2,3.6,1.0,1.9,0.389,0.267,Mateen Cleaves,0.728
13,ACC,32.5,17.0,9.2,1.6,0.473,0.369,Jason Collier,7.0,Georgia Tech,0.735,15,MIL,5.0,2000,14.4,5.6,2.9,0.3,0.455,0.35,Jason Collier,0.738
14,Big 12,35.4,18.0,6.6,1.5,0.499,0.43,Desmond Mason,6.59,Oklahoma State,0.767,17,SEA,10.0,2000,30.5,12.1,4.5,1.6,0.449,0.26,Desmond Mason,0.74
15,CUSA,34.8,17.0,9.8,2.2,0.43200000000000005,0.384,Quentin Richardson,7.83,DePaul,0.706,18,LAC,13.0,2000,26.5,10.3,4.7,1.5,0.397,0.355,Quentin Richardson,0.718
16,SEC,29.6,13.2,9.1,0.5,0.5,,Jamaal Magloire,12.71,Kentucky,0.685,19,CHH,12.0,2000,21.5,7.2,6.5,0.6,0.48,0.0,Jamaal Magloire,0.639
17,AEC,35.1,22.8,5.4,6.0,0.47,0.381,Speedy Claxton,-6.03,Hofstra,0.764,20,PHI,7.0,2000,25.6,9.3,2.5,4.3,0.409,0.193,Speedy Claxton,0.762
18,Big Ten,29.1,16.8,6.0,1.3,0.465,0.425,Morris Peterson,9.91,Michigan State,0.773,21,TOR,11.0,2000,27.2,10.7,3.5,1.5,0.418,0.373,Morris Peterson,0.773
19,SEC,20.2,10.1,7.0,1.0,0.507,0.0,Donnell Harvey,8.51,Florida,0.61,22,NYK,5.0,2000,16.2,5.6,4.0,0.8,0.46,0.1,Donnell Harvey,0.659
20,SEC,26.6,8.9,7.9,0.5,0.535,,Mamadou N'Diaye,8.2,Auburn,0.665,26,DEN,5.0,2000,12.4,3.8,3.3,0.1,0.42700000000000005,0.0,Mamadou N'Diaye,0.736
21,Big East,36.9,16.0,3.0,4.5,0.39799999999999996,0.313,Erick Barkley,6.96,St. John's (NY),0.664,28,POR,2.0,2000,9.9,2.9,0.8,1.5,0.35600000000000004,0.267,Erick Barkley,0.9
22,Pac-10,27.3,12.2,9.3,1.1,0.5870000000000001,,Mark Madsen,7.12,Stanford,0.575,29,LAL,9.0,2000,11.8,2.2,2.6,0.4,0.457,0.063,Mark Madsen,0.527
23,SEC,34.4,22.1,6.0,0.8,0.47700000000000004,0.40299999999999997,Dan Langhi,7.54,Vanderbilt,0.871,31,DAL,4.0,2000,9.4,3.0,1.5,0.3,0.391,0.289,Dan Langhi,0.613
24,Big Ten,34.3,19.7,3.1,2.3,0.45899999999999996,0.419,A.J. Guyton,10.22,Indiana,0.789,32,CHI,3.0,2000,15.6,5.5,1.0,1.8,0.377,0.37799999999999995,A.J. Guyton,0.8220000000000001
25,Big East,22.9,8.5,6.4,1.1,0.5710000000000001,,Jake Voskuhl,7.58,UConn,0.6829999999999999,33,CHI,9.0,2000,14.3,4.0,3.4,0.5,0.48700000000000004,0.33299999999999996,Jake Voskuhl,0.7140000000000001
26,Big East,31.9,16.0,3.1,5.2,0.41100000000000003,0.35600000000000004,Khalid El-Amin,7.58,UConn,0.892,34,CHI,1.0,2000,18.7,6.3,1.6,2.9,0.37,0.33299999999999996,Khalid El-Amin,0.778
27,Southland,36.1,20.1,9.4,3.4,0.424,0.33799999999999997,Mike Smith,-5.85,Louisiana-Monroe,0.8009999999999999,35,WAS,1.0,2000,10.6,3.0,1.3,0.6,0.322,0.16699999999999998,Mike Smith,0.625
28,Pac-10,37.2,23.0,5.5,3.5,0.42200000000000004,0.365,Eddie House,8.75,Arizona State,0.835,37,MIA,11.0,2000,17.3,7.5,1.7,1.6,0.409,0.39,Eddie House,0.851
29,Big 12,34.2,18.4,9.2,2.1,0.455,0.22,Eduardo Najera,6.63,Oklahoma,0.688,38,HOU,12.0,2000,18.1,4.9,3.7,0.8,0.48100000000000004,0.311,Eduardo Najera,0.6709999999999999
30,Big East,35.0,14.3,6.9,1.8,0.428,0.294,Lavor Postell,6.96,St. John's (NY),0.809,39,NYK,3.0,2000,7.3,3.2,0.7,0.2,0.335,0.25,Lavor Postell,0.795
31,MWC,27.6,17.0,4.8,1.7,0.498,0.35,Hanno Mottola,4.36,Utah,0.8270000000000001,40,ATL,2.0,2000,15.2,4.6,2.9,0.5,0.442,0.063,Hanno Mottola,0.7829999999999999
32,ACC,,16.9,6.1,3.2,0.486,0.377,Chris Carrawell,8.88,Duke,0.778,41,SAS,,2000,,,,,,,Chris Carrawell,
33,Big Ten,33.5,17.3,6.5,2.1,0.436,0.315,Michael Redd,6.55,Ohio State,0.7759999999999999,43,MIL,12.0,2000,32.0,19.0,3.8,2.1,0.447,0.38,Michael Redd,0.838
34,Big Ten,29.5,13.9,6.3,2.2,0.41100000000000003,0.33899999999999997,Brian Cardinal,9.56,Purdue,0.769,44,DET,12.0,2000,14.2,4.6,2.3,1.0,0.408,0.37200000000000005,Brian Cardinal,0.861
35,SEC,28.5,12.5,7.0,2.2,0.5529999999999999,0.371,Jabari Smith,5.78,LSU,0.595,45,SAC,4.0,2000,9.8,3.0,1.6,0.6,0.413,0.125,Jabari Smith,0.69
36,A-10,,15.8,4.6,2.2,0.37799999999999995,0.349,Mark Karcher,6.94,Temple,0.569,48,PHI,,2000,,,,,,,Mark Karcher,
37,Big East,33.8,11.9,3.0,6.5,0.41100000000000003,0.33,Jason Hart,6.2,Syracuse,0.7340000000000001,49,MIL,9.0,2000,15.5,4.8,1.7,2.3,0.41700000000000004,0.315,Jason Hart,0.7879999999999999
38,Big West,27.4,12.1,6.6,0.9,0.486,0.382,Kaniel Dickens,1.53,Idaho,0.638,50,UTA,3.0,2000,4.5,1.2,0.6,0.1,0.4,0.33299999999999996,Kaniel Dickens,0.75
39,Big Sky,24.3,15.6,6.5,1.2,0.597,,Dan McClintock,1.37,Northern Arizona,0.682,53,DEN,1.0,2000,9.7,3.0,2.8,0.2,0.5,,Dan McClintock,0.0
40,Big South,24.0,8.6,6.0,2.6,0.381,0.3,Cory Hightower,0.78,Presbyterian,0.5,54,SAS,,2000,,,,,,,Cory Hightower,
41,SEC,29.0,14.6,7.3,1.2,0.46399999999999997,0.235,Chris Porter,8.2,Auburn,0.6759999999999999,55,GSW,1.0,2000,22.5,8.6,3.7,1.2,0.389,0.0,Chris Porter,0.667
42,Big 12,,17.0,3.2,4.5,0.441,0.38799999999999996,Jaquay Walls,6.33,Colorado,0.754,56,IND,,2000,,,,,,,Jaquay Walls,
43,Big Ten,,15.6,4.4,4.3,0.386,0.313,Scoonie Penn,6.55,Ohio State,0.755,57,ATL,,2000,,,,,,,Scoonie Penn,
44,CUSA,,13.5,6.3,1.8,0.504,0.35,Pete Mickeal,8.5,Cincinnati,0.723,58,DAL,,2000,,,,,,,Pete Mickeal,
45,Big Ten,28.5,14.7,5.9,2.2,0.503,0.402,Jason Richardson,9.54,Michigan State,0.6890000000000001,5,GSW,13.0,2001,34.1,17.1,5.0,2.7,0.43799999999999994,0.37,Jason Richardson,0.7070000000000001
46,ACC,34.9,19.9,7.3,1.8,0.47100000000000003,0.419,Shane Battier,11.97,Duke,0.7959999999999999,6,MEM,13.0,2001,30.7,8.6,4.2,1.8,0.43700000000000006,0.384,Shane Battier,0.743
47,Big East,32.6,17.8,10.8,1.6,0.429,0.32,Eddie Griffin,6.03,Seton Hall,0.7340000000000001,7,NJN,5.0,2001,22.2,7.2,5.8,0.8,0.377,0.315,Eddie Griffin,0.6709999999999999
48,CUSA,30.9,18.7,6.5,1.5,0.48700000000000004,0.34700000000000003,Rodney White,7.91,Charlotte,0.713,9,DET,4.0,2001,15.4,7.1,2.2,1.1,0.424,0.314,Rodney White,0.7490000000000001
49,SEC,29.1,14.2,6.4,2.6,0.46799999999999997,0.44299999999999995,Joe Johnson,6.16,Arkansas,0.747,10,BOS,17.0,2001,34.7,16.0,4.0,3.9,0.441,0.371,Joe Johnson,0.802
50,Pac-10,27.5,11.3,5.4,2.7,0.479,0.344,Richard Jefferson,12.56,Arizona,0.655,13,HOU,17.0,2001,29.0,12.6,4.0,2.0,0.46399999999999997,0.376,Richard Jefferson,0.768
51,Big East,36.3,21.8,9.2,2.1,0.47100000000000003,0.349,Troy Murphy,5.68,Notre Dame,0.7659999999999999,14,GSW,12.0,2001,27.3,10.8,7.8,1.5,0.445,0.38799999999999996,Troy Murphy,0.785
52,CUSA,26.9,11.4,5.6,0.5,0.5920000000000001,,Steven Hunter,8.02,DePaul,0.536,15,ORL,8.0,2001,15.0,4.5,3.2,0.2,0.56,0.0,Steven Hunter,0.485
53,Big Ten,30.8,19.0,8.7,1.2,0.44,0.377,Kirk Haston,11.05,Indiana,0.687,16,CHH,2.0,2001,5.0,1.2,1.0,0.3,0.23199999999999998,0.0,Kirk Haston,0.5
54,Big East,34.0,20.8,9.8,2.6,0.6920000000000001,0.353,Michael Bradley,6.45,Villanova,0.59,17,TOR,5.0,2001,11.7,2.8,3.4,0.5,0.47700000000000004,0.14300000000000002,Michael Bradley,0.511
55,Pac-10,26.3,14.5,7.8,1.5,0.62,0.462,Jason Collins,9.86,Stanford,0.784,18,HOU,13.0,2001,20.4,3.6,3.7,0.9,0.41100000000000003,0.20600000000000002,Jason Collins,0.647
56,Big Ten,19.8,10.8,6.7,1.0,0.5870000000000001,0.0,Zach Randolph,9.54,Michigan State,0.635,19,POR,17.0,2001,31.0,16.6,9.1,1.8,0.47100000000000003,0.273,Zach Randolph,0.764
57,ACC,27.3,12.3,7.3,1.3,0.5920000000000001,,Brendan Haywood,11.77,UNC,0.516,20,CLE,13.0,2001,22.9,6.8,6.0,0.5,0.528,0.0,Brendan Haywood,0.5870000000000001
58,ACC,34.7,20.9,6.1,3.5,0.45,0.377,Joseph Forte,11.77,UNC,0.853,21,BOS,2.0,2001,5.0,1.2,0.7,0.7,0.23399999999999999,0.0,Joseph Forte,0.8
59,WAC,34.9,17.0,8.3,0.8,0.39399999999999996,0.287,Jeryl Sasser,3.95,SMU,0.718,22,ORL,2.0,2001,12.9,2.5,2.3,0.8,0.303,0.295,Jeryl Sasser,0.687
60,WCC,33.1,22.1,3.3,1.5,0.447,0.384,Brandon Armstrong,1.77,Pepperdine,0.826,23,HOU,3.0,2001,6.5,2.2,0.6,0.2,0.35200000000000004,0.33299999999999996,Brandon Armstrong,0.6
61,SEC,22.9,9.8,6.0,1.5,0.43799999999999994,0.175,Gerald Wallace,6.27,Alabama,0.568,25,SAC,14.0,2001,29.7,11.9,5.8,2.1,0.469,0.312,Gerald Wallace,0.7090000000000001
62,Big East,21.4,8.3,5.7,0.3,0.565,,Samuel Dalembert,6.03,Seton Hall,0.556,26,PHI,13.0,2001,24.4,7.7,7.8,0.5,0.521,0.083,Samuel Dalembert,0.706
63,Big 12,32.2,14.3,3.8,6.0,0.39899999999999997,0.381,Jamaal Tinsley,4.87,Iowa State,0.6920000000000001,27,MEM,11.0,2001,26.4,8.5,2.9,6.1,0.39299999999999996,0.299,Jamaal Tinsley,0.716
64,OVC,37.9,21.7,7.8,4.5,0.485,0.39,Trenton Hassell,-3.26,Austin Peay,0.7959999999999999,30,CHI,9.0,2001,25.3,5.8,2.8,1.8,0.445,0.318,Trenton Hassell,0.765
65,Pac-10,29.0,16.2,3.6,2.3,0.479,0.41600000000000004,Gilbert Arenas,12.56,Arizona,0.7240000000000001,31,GSW,11.0,2001,35.1,20.7,3.9,5.3,0.42100000000000004,0.35100000000000003,Gilbert Arenas,0.8029999999999999
66,Big East,38.2,15.3,3.0,8.7,0.36,0.309,Omar Cook,8.27,St. John's (NY),0.742,32,ORL,2.0,2001,9.7,1.7,0.6,2.1,0.33299999999999996,0.0,Omar Cook,0.5
67,ACC,33.3,19.7,2.9,3.4,0.397,0.377,Will Solomon,8.31,Clemson,0.7879999999999999,33,MEM,2.0,2001,13.8,5.1,1.1,2.0,0.37799999999999995,0.298,Will Solomon,0.6920000000000001
68,ACC,27.6,12.2,7.7,1.9,0.43200000000000005,0.289,Terence Morris,10.99,Maryland,0.795,34,ATL,3.0,2001,13.9,3.4,2.7,0.7,0.40700000000000003,0.196,Terence Morris,0.711
69,Pac-10,32.8,14.7,5.9,2.8,0.478,0.303,Brian Scalabrine,10.83,USC,0.8009999999999999,35,NJN,11.0,2001,13.0,3.1,2.0,0.8,0.39,0.344,Brian Scalabrine,0.7829999999999999
70,Pac-10,29.6,9.0,5.1,1.6,0.45299999999999996,0.235,Jeff Trepagnier,10.83,USC,0.607,36,CLE,3.0,2001,8.7,2.8,1.4,0.7,0.337,0.462,Jeff Trepagnier,0.7
71,Big East,36.5,16.4,8.8,1.6,0.49200000000000005,0.28600000000000003,Damone Brown,5.82,Syracuse,0.7909999999999999,37,PHI,4.0,2001,9.0,2.8,1.3,0.5,0.336,0.28600000000000003,Damone Brown,0.667
72,Pac-10,,15.6,7.8,0.3,0.594,0.0,Michael Wright,12.56,Arizona,0.797,39,NYK,,2001,,,,,,,Michael Wright,
73,Pac-10,34.8,14.7,3.7,5.2,0.493,0.35200000000000004,Earl Watson,12.06,UCLA,0.636,40,SEA,13.0,2001,22.2,6.4,2.3,4.4,0.41100000000000003,0.324,Earl Watson,0.703
74,SEC,32.3,8.4,7.2,5.8,0.469,0.22699999999999998,Jamison Brewer,7.13,Auburn,0.529,41,IND,4.0,2001,8.7,1.6,0.9,1.0,0.37200000000000005,0.25,Jamison Brewer,0.39299999999999996
75,CUSA,33.8,16.7,8.6,2.5,0.447,0.37,Bobby Simmons,8.02,DePaul,0.8,42,SEA,10.0,2001,24.7,9.0,3.8,1.5,0.43700000000000006,0.396,Bobby Simmons,0.823
76,Big 12,22.6,9.5,7.6,0.8,0.457,0.0,Eric Chenowith,9.03,Kansas,0.684,43,NYK,,2001,,,,,,,Eric Chenowith,
77,OVC,,23.8,4.9,4.0,0.473,0.43200000000000005,Kyle Hill,-2.46,Eastern Illinois,0.8390000000000001,44,DAL,,2001,,,,,,,Kyle Hill,
78,Pac-10,34.6,19.5,7.2,3.3,0.502,0.212,Sean Lampley,9.08,California,0.738,45,CHI,2.0,2001,12.2,4.5,2.1,0.7,0.46299999999999997,0.0,Sean Lampley,0.691
79,Pac-10,30.3,13.2,6.5,2.1,0.504,0.33299999999999996,Loren Woods,12.56,Arizona,0.83,46,MIN,6.0,2001,11.3,2.6,3.2,0.3,0.419,0.14300000000000002,Loren Woods,0.642
80,Big Ten,29.5,12.5,7.3,0.8,0.578,,Ken Johnson,8.17,Ohio State,0.711,49,MIA,1.0,2001,9.8,2.0,2.0,0.0,0.405,,Ken Johnson,0.33299999999999996
81,Big East,21.6,9.1,6.8,0.9,0.517,,Ruben Boumtje-Boumtje,1.58,Georgetown,0.718,50,POR,3.0,2001,6.3,1.0,1.3,0.1,0.368,,Ruben Boumtje-Boumtje,0.556
82,CUSA,25.5,10.8,5.9,0.7,0.43200000000000005,0.265,Alton Ford,4.91,Houston,0.609,51,PHO,3.0,2001,7.2,2.5,1.7,0.2,0.507,,Alton Ford,0.6970000000000001
83,Big Ten,,13.8,7.6,1.9,0.622,,Andre Hutson,9.54,Michigan State,0.725,52,MIL,,2001,,,,,,,Andre Hutson,
84,Pac-10,28.3,12.8,6.7,1.4,0.5579999999999999,0.33299999999999996,Jarron Collins,9.86,Stanford,0.687,53,UTA,10.0,2001,15.8,3.9,2.9,0.8,0.455,0.0,Jarron Collins,0.6990000000000001
85,CUSA,34.4,14.4,4.7,5.1,0.387,0.33299999999999996,Kenny Satterfield,7.84,Cincinnati,0.7879999999999999,54,DAL,2.0,2001,14.2,4.3,1.3,2.3,0.335,0.218,Kenny Satterfield,0.746
86,CUSA,,16.0,6.1,2.5,0.449,0.43799999999999994,Maurice Jeffers,5.9,Saint Louis,0.777,55,SAC,,2001,,,,,,,Maurice Jeffers,
87,ACC,29.2,13.4,10.4,1.5,0.48200000000000004,0.0,Alvin Jones,11.78,Georgia Tech,0.596,57,PHI,1.0,2001,5.5,1.1,1.6,0.1,0.4,,Alvin Jones,0.5
88,Pac-10,,18.6,7.1,1.0,0.493,0.42700000000000005,Bryan Bracey,7.9,Oregon,0.7879999999999999,58,SAS,,2001,,,,,,,Bryan Bracey,
89,ACC,33.6,21.3,3.5,5.3,0.457,0.38299999999999995,Jay Williams,9.16,Duke,0.6759999999999999,2,CHI,1.0,2002,26.1,9.5,2.6,4.7,0.39899999999999997,0.322,Jay Williams,0.64
90,ACC,32.4,17.3,7.2,2.1,0.483,0.37799999999999995,Mike Dunleavy,9.16,Duke,0.6809999999999999,3,GSW,15.0,2002,27.7,11.2,4.3,2.2,0.441,0.377,Mike Dunleavy,0.8029999999999999
91,Big 12,30.2,19.8,11.4,2.0,0.504,0.278,Drew Gooden,9.35,Kansas,0.755,4,MEM,14.0,2002,25.5,11.0,7.1,1.1,0.462,0.257,Drew Gooden,0.76
92,CUSA,31.8,21.2,2.5,3.6,0.41,0.317,Dajuan Wagner,4.72,Memphis,0.722,6,CLE,4.0,2002,21.4,9.4,1.4,1.9,0.366,0.321,Dajuan Wagner,0.77
93,ACC,24.1,12.0,7.1,1.5,0.504,0.0,Chris Wilcox,9.38,Maryland,0.585,8,LAC,11.0,2002,19.9,8.2,4.9,0.7,0.541,0.0,Chris Wilcox,0.643
94,Big East,36.0,20.3,7.5,3.0,0.486,0.4,Caron Butler,7.43,UConn,0.779,10,MIA,14.0,2002,32.2,14.1,5.0,2.3,0.434,0.348,Caron Butler,0.847
95,Big Ten,32.6,15.0,7.6,2.1,0.457,0.38,Jared Jeffries,12.08,Indiana,0.667,11,WAS,11.0,2002,21.6,4.8,4.1,1.3,0.426,0.25,Jared Jeffries,0.583
96,WAC,35.7,23.3,9.1,1.8,0.563,0.0,Melvin Ely,5.2,Fresno State,0.735,12,LAC,9.0,2002,16.0,5.3,3.2,0.7,0.46,0.0,Melvin Ely,0.625
97,SEC,33.6,16.7,6.7,1.0,0.518,0.326,Marcus Haislip,10.93,Tennessee,0.721,13,MIL,4.0,2002,9.6,3.5,1.5,0.2,0.43700000000000006,0.35,Marcus Haislip,0.659
98,Pac-10,31.5,18.6,5.4,3.2,0.521,0.37200000000000005,Fred Jones,6.93,Oregon,0.871,14,IND,7.0,2002,24.0,7.5,2.2,2.3,0.41100000000000003,0.353,Fred Jones,0.809
99,ACC,33.6,20.4,4.6,2.9,0.469,0.397,Juan Dixon,9.38,Maryland,0.898,17,WAS,7.0,2002,19.5,8.4,1.9,1.8,0.413,0.341,Juan Dixon,0.833
100,Pac-10,30.9,16.9,11.4,2.0,0.5760000000000001,0.40700000000000003,Curtis Borchardt,9.03,Stanford,0.67,18,ORL,2.0,2002,13.5,3.1,3.3,0.8,0.42100000000000004,0.0,Curtis Borchardt,0.742
101,Big East,35.6,18.9,10.9,2.6,0.489,0.5,Ryan Humphrey,6.17,Notre Dame,0.598,19,UTA,3.0,2002,9.1,2.3,2.2,0.2,0.344,0.0,Ryan Humphrey,0.539
102,Big 12,31.9,19.8,5.2,2.5,0.426,0.405,Kareem Rush,6.81,Missouri,0.769,20,TOR,7.0,2002,17.2,6.4,1.7,1.0,0.4,0.358,Kareem Rush,0.703
103,Pac-10,35.3,21.9,4.5,3.5,0.441,0.37200000000000005,Casey Jacobsen,9.03,Stanford,0.7759999999999999,22,PHO,4.0,2002,18.5,5.2,1.8,1.1,0.39299999999999996,0.35200000000000004,Casey Jacobsen,0.769
104,SEC,33.3,17.5,6.3,1.6,0.467,0.34,Tayshaun Prince,11.99,Kentucky,0.703,23,DET,14.0,2002,31.0,11.1,4.3,2.4,0.455,0.36700000000000005,Tayshaun Prince,0.7559999999999999
105,Big Ten,32.4,16.2,4.7,4.4,0.39299999999999996,0.34,Frank Williams,9.94,Illinois,0.8079999999999999,25,DEN,3.0,2002,11.1,2.9,0.9,1.9,0.35200000000000004,0.3,Frank Williams,0.833
106,Big East,33.7,13.1,6.0,6.1,0.461,0.31,John Salmons,5.52,Miami (FL),0.8420000000000001,26,SAS,13.0,2002,26.4,9.3,2.9,2.4,0.431,0.366,John Salmons,0.799
107,WAC,34.6,17.3,6.3,3.0,0.418,0.34700000000000003,Chris Jefferies,5.2,Fresno State,0.634,27,LAL,2.0,2002,12.0,3.9,1.2,0.4,0.38299999999999995,0.365,Chris Jefferies,0.667
108,WCC,34.7,21.0,3.0,4.7,0.441,0.457,Dan Dickau,0.74,Gonzaga,0.8640000000000001,28,SAC,6.0,2002,15.4,5.8,1.4,2.5,0.401,0.341,Dan Dickau,0.831
109,CUSA,34.1,22.0,3.1,5.3,0.457,0.374,Steve Logan,6.58,Cincinnati,0.873,30,GSW,,2002,,,,,,,Steve Logan,
110,ACC,36.1,18.6,3.2,4.1,0.409,0.36700000000000005,Roger Mason,7.9,Virginia,0.8809999999999999,31,CHI,10.0,2002,17.7,6.3,1.7,1.3,0.408,0.38299999999999995,Roger Mason,0.866
111,Big Ten,22.6,10.6,5.5,1.3,0.659,0.0,Robert Archibald,9.94,Illinois,0.654,32,MEM,2.0,2002,7.5,1.2,1.6,0.4,0.28300000000000003,,Robert Archibald,0.429
112,SEC,35.4,18.1,7.5,2.8,0.425,0.359,Vincent Yarbrough,10.93,Tennessee,0.687,33,DEN,1.0,2002,23.4,6.9,2.7,2.2,0.39299999999999996,0.26899999999999996,Vincent Yarbrough,0.79
113,Pac-10,26.2,11.7,7.7,0.7,0.5539999999999999,0.0,Dan Gadzuric,10.77,UCLA,0.47200000000000003,34,MIL,10.0,2002,14.8,4.7,4.4,0.4,0.5,0.0,Dan Gadzuric,0.498
114,ACC,28.4,18.2,8.7,1.1,0.665,0.0,Carlos Boozer,9.16,Duke,0.754,35,CLE,13.0,2002,31.2,16.2,9.5,2.2,0.521,0.071,Carlos Boozer,0.722
115,WAC,32.3,13.5,5.8,8.0,0.391,0.28600000000000003,Tito Maddox,5.14,Fresno State,0.703,38,HOU,1.0,2002,3.9,1.2,0.8,0.6,0.25,0.0,Tito Maddox,0.625
116,SEC,30.8,14.1,6.1,1.8,0.423,0.278,Rod Grizzard,7.67,Alabama,0.772,39,WAS,,2002,,,,,,,Rod Grizzard,
117,Sun Belt,28.1,14.6,6.6,0.9,0.5670000000000001,,Jason Jennings,-1.98,Arkansas State,0.79,43,POR,,2002,,,,,,,Jason Jennings,
118,ACC,28.7,15.2,8.2,0.8,0.545,0.0,Lonny Baxter,9.38,Maryland,0.623,44,CHI,4.0,2002,11.6,3.9,2.9,0.2,0.466,0.2,Lonny Baxter,0.657
119,Pac-10,37.6,19.1,9.4,1.7,0.494,0.5,Sam Clancy,8.3,USC,0.624,45,PHI,,2002,,,,,,,Sam Clancy,
120,Pac-10,30.7,13.5,6.2,3.5,0.47100000000000003,0.41700000000000004,Matt Barnes,10.77,UCLA,0.619,46,MEM,14.0,2002,23.6,8.2,4.6,1.8,0.436,0.335,Matt Barnes,0.745
121,Pac-10,24.9,6.4,6.5,1.2,0.426,,Jamal Sampson,7.45,California,0.526,47,UTA,5.0,2002,8.8,2.0,3.4,0.4,0.491,0.0,Jamal Sampson,0.537
122,Big 12,27.2,15.8,7.4,0.8,0.5,0.3,Chris Owens,9.98,Texas,0.627,48,MIL,1.0,2002,6.0,4.0,1.0,0.0,0.667,,Chris Owens,
123,ACC,30.5,17.9,8.1,2.6,0.523,0.375,Darius Songaila,10.28,Wake Forest,0.8540000000000001,50,BOS,8.0,2002,18.6,6.9,3.4,1.2,0.499,0.158,Darius Songaila,0.8440000000000001
124,Big Ten,34.4,16.8,2.9,5.3,0.4,0.361,Marcus Taylor,9.6,Michigan State,0.813,52,MIN,,2002,,,,,,,Marcus Taylor,
125,A-10,39.1,20.9,8.8,1.4,0.434,0.361,Rasual Butler,2.64,La Salle,0.855,53,MIA,13.0,2002,21.3,7.5,2.4,0.8,0.40299999999999997,0.36200000000000004,Rasual Butler,0.747
126,MAC,34.4,18.9,5.4,2.4,0.446,0.419,Tamar Slay,1.22,Marshall,0.731,54,NJN,3.0,2002,7.8,2.6,1.1,0.5,0.361,0.265,Tamar Slay,0.5379999999999999
127,MWC,32.3,16.9,9.0,1.7,0.516,0.3,Randy Holcomb,6.02,San Diego State,0.635,57,SAS,1.0,2002,2.8,0.5,0.3,0.0,1.0,,Randy Holcomb,
128,NEC,31.0,15.4,8.7,1.0,0.504,,Corsley Edwards,-9.29,Central Connecticut,0.7609999999999999,58,SAC,1.0,2002,11.0,2.7,2.5,0.3,0.32299999999999995,,Corsley Edwards,0.583
129,Big East,36.4,22.2,10.0,2.2,0.45299999999999996,0.337,Carmelo Anthony,9.02,Syracuse,0.706,3,DEN,16.0,2003,35.8,24.0,6.5,3.0,0.449,0.34700000000000003,Carmelo Anthony,0.8109999999999999
130,ACC,31.0,15.6,9.0,1.2,0.56,0.478,Chris Bosh,7.94,Georgia Tech,0.73,4,TOR,13.0,2003,35.8,19.2,8.5,2.0,0.494,0.335,Chris Bosh,0.799
